
 NS = 8   NO. FOURIER MODES = 288   FTOLV = 1.000e-11   NITER = 4000

 ITER |    FSQR     FSQZ     FSQL    |    fsqr     fsqz      fsql   |   DELT   |  RAX(v=0) |    W_MHD   |   <BETA>   |  <M>  |  DELBSQ
  335 | 6.95e-09  1.73e-09  6.87e-09 | 1.52e-11  5.46e-12  6.03e-11 | 6.56e-01 | 6.006e+00 | 7.0443e+01 | 3.9946e-02 | 1.576 | 1.366e-03
  340 | 6.20e-09  1.45e-09  6.63e-09 | 1.35e-11  4.87e-12  5.44e-11 | 6.56e-01 | 6.006e+00 | 7.0443e+01 | 3.9947e-02 | 1.574 | 1.364e-03
  345 | 5.61e-09  1.46e-09  6.33e-09 | 1.22e-11  5.08e-12  4.76e-11 | 6.56e-01 | 6.006e+00 | 7.0443e+01 | 3.9947e-02 | 1.573 | 1.363e-03
  350 | 5.42e-09  1.23e-09  6.13e-09 | 1.10e-11  3.59e-12  4.13e-11 | 6.56e-01 | 6.007e+00 | 7.0443e+01 | 3.9947e-02 | 1.572 | 1.363e-03
  355 | 4.99e-09  1.13e-09  5.82e-09 | 9.78e-12  3.69e-12  3.78e-11 | 6.56e-01 | 6.007e+00 | 7.0443e+01 | 3.9948e-02 | 1.570 | 1.362e-03
  360 | 4.48e-09  1.15e-09  5.46e-09 | 8.67e-12  3.62e-12  3.34e-11 | 6.56e-01 | 6.007e+00 | 7.0443e+01 | 3.9948e-02 | 1.569 | 1.361e-03
  365 | 4.13e-09  1.05e-09  5.11e-09 | 7.51e-12  3.29e-12  2.89e-11 | 6.56e-01 | 6.007e+00 | 7.0443e+01 | 3.9948e-02 | 1.567 | 1.361e-03
  370 | 3.69e-09  9.83e-10  4.80e-09 | 6.97e-12  3.27e-12  2.44e-11 | 6.56e-01 | 6.007e+00 | 7.0443e+01 | 3.9948e-02 | 1.566 | 1.361e-03
  375 | 3.37e-09  9.22e-10  4.61e-09 | 6.30e-12  2.90e-12  2.12e-11 | 6.56e-01 | 6.007e+00 | 7.0443e+01 | 3.9949e-02 | 1.564 | 1.361e-03
  380 | 2.98e-09  9.23e-10  4.49e-09 | 5.48e-12  3.14e-12  1.98e-11 | 6.56e-01 | 6.007e+00 | 7.0443e+01 | 3.9949e-02 | 1.563 | 1.361e-03
  385 | 2.77e-09  8.17e-10  4.27e-09 | 4.86e-12  2.64e-12  1.81e-11 | 6.56e-01 | 6.008e+00 | 7.0443e+01 | 3.9949e-02 | 1.562 | 1.360e-03
  390 | 2.57e-09  7.72e-10  3.98e-09 | 4.38e-12  2.37e-12  1.59e-11 | 6.56e-01 | 6.008e+00 | 7.0443e+01 | 3.9949e-02 | 1.561 | 1.360e-03
  395 | 2.24e-09  7.50e-10  3.70e-09 | 4.06e-12  2.66e-12  1.32e-11 | 6.56e-01 | 6.008e+00 | 7.0443e+01 | 3.9949e-02 | 1.559 | 1.359e-03
  400 | 2.09e-09  6.73e-10  3.45e-09 | 3.72e-12  2.18e-12  1.15e-11 | 6.56e-01 | 6.008e+00 | 7.0443e+01 | 3.9950e-02 | 1.558 | 1.359e-03
  405 | 1.89e-09  6.69e-10  3.36e-09 | 3.35e-12  2.03e-12  1.05e-11 | 6.56e-01 | 6.008e+00 | 7.0443e+01 | 3.9950e-02 | 1.557 | 1.358e-03
