 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
  SEQ =    1 TIME SLICE  0.0000E+00
  PROCESSING INPUT.w7x_768
  THIS IS PARVMEC (PARALLEL VMEC), VERSION 10.0
  Lambda: Full Radial Mesh. L-Force: hybrid full/half.

  COMPUTER: demo-host   OS: GNU/Linux   RELEASE: 7.0.0-27-generic  DATE = Jul 21,2026  TIME = 14:28:16
  Opening vacuum field file: mgrid_w7x.nc
  Time to read MGRID file:   6.79E-02 s

  NS =    8 NO. FOURIER MODES =  288 FTOLV =  1.000E-11 NITER =   4000
  PROCESSOR COUNT - RADIAL:    1  VACUUM:    1

  ITER    FSQR      FSQZ      FSQL    RAX(v=0)    DELT        WMHD      DEL-BSQ
  785  2.48E-11  1.14E-11  4.59E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  790  2.32E-11  1.09E-11  4.43E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  795  2.26E-11  1.03E-11  4.25E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  800  2.23E-11  1.01E-11  4.04E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  805  2.08E-11  9.34E-12  3.83E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  810  1.98E-11  8.74E-12  3.64E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  815  1.89E-11  8.74E-12  3.50E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  820  1.74E-11  8.33E-12  3.38E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  825  1.71E-11  7.96E-12  3.24E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  830  1.69E-11  7.65E-12  3.10E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  835  1.56E-11  7.13E-12  2.95E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  840  1.52E-11  6.66E-12  2.81E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  845  1.43E-11  6.66E-12  2.71E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  850  1.33E-11  6.35E-12  2.62E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  855  1.31E-11  6.08E-12  2.53E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  860  1.29E-11  5.86E-12  2.42E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  865  1.20E-11  5.49E-12  2.31E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  870  1.15E-11  5.17E-12  2.21E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  875  1.09E-11  5.11E-12  2.12E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  880  1.02E-11  4.87E-12  2.06E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  885  9.97E-12  4.65E-12  1.99E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  890  9.90E-12  4.46E-12  1.91E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  895  9.11E-12  4.22E-12  1.83E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  900  8.78E-12  3.99E-12  1.75E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  905  8.35E-12  3.94E-12  1.69E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  910  7.84E-12  3.79E-12  1.64E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
